0.226636, 0.309898, 0.656475, 2.000000
0.821739, 0.090477, 0.223562, 3.000000
0.321500, 0.253848, 0.531959, 1.000000
0.862449, 0.928868, 0.159246, 9.000000
0.800030, 0.140071, 0.184275, 3.000000
0.254743, 0.881043, 0.546355, 7.000000
0.996982, 0.814793, 0.622973, 10.000000
0.119344, 0.749254, 0.105195, 6.000000
0.797649, 0.170272, 0.207854, 3.000000
0.641170, 0.295681, 0.227969, 3.000000
0.245669, 0.416617, 0.177496, 0.000000
0.880968, 0.866411, 0.919435, 11.000000
0.373519, 0.342033, 0.086038, 0.000000
0.241326, 0.091701, 0.904852, 2.000000
0.688649, 0.355669, 0.493603, 4.000000
1.000000, 0.837647, 0.510434, 10.000000
0.366353, 0.882214, 0.479627, 6.000000
0.174109, 1.000000, 0.684585, 8.000000
0.518259, 0.229491, 0.677612, 5.000000
0.285141, 0.955508, 0.422201, 7.000000
0.175047, 0.262027, 0.849480, 2.000000
0.343310, 0.161629, 0.223749, 0.000000
0.103600, 0.801394, 0.293916, 6.000000
0.171969, 0.288666, 0.867058, 2.000000
0.018078, 0.000000, 0.811270, 2.000000
0.290780, 0.163385, 0.606343, 1.000000
0.601880, 0.121485, 0.250554, 3.000000
0.906983, 0.950553, 0.759048, 11.000000
0.739103, 0.855701, 0.882299, 11.000000
0.795276, 0.820624, 0.152432, 9.000000
0.082328, 0.318406, 0.050790, 0.000000
0.610448, 0.219395, 0.992697, 5.000000
0.918694, 0.836274, 0.965117, 11.000000
0.683597, 0.106829, 0.771230, 5.000000
0.187955, 0.294639, 0.377073, 1.000000
0.641234, 0.083578, 0.892340, 5.000000
0.250964, 0.050364, 1.000000, 2.000000
0.758371, 0.936237, 0.844658, 11.000000
0.936469, 0.917133, 0.301177, 9.000000
0.895975, 0.773530, 0.356716, 9.000000
0.844737, 0.865257, 0.166814, 9.000000
0.131761, 0.778020, 0.856010, 8.000000
0.809018, 0.142381, 0.438055, 4.000000
